Supplementary Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c) Mean responses; spontaneous firing rate has been subtracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AgOr1 ,AgOr2  ,AgOr3  ,AgOr4  ,AgOr5  ,AgOr6  ,AgOr8  ,AgOr9  ,AgOr10  ,AgOr11  ,AgOr12  ,AgOr13  ,AgOr15  ,AgOr16  ,AgOr18  ,AgOr20  ,AgOr21  ,AgOr23  ,AgOr25  ,AgOr26  ,AgOr27  ,AgOr30  ,AgOr31  ,AgOr32  ,AgOr33  ,AgOr35  ,AgOr38  ,AgOr39  ,AgOr41  ,AgOr42  ,AgOr43  ,AgOr44  ,AgOr45  ,AgOr46  ,AgOr48  ,AgOr50  ,AgOr53  ,AgOr54  ,AgOr56  ,AgOr57  ,AgOr59  ,AgOr61  ,AgOr63  ,AgOr64  ,AgOr65  ,AgOr66  ,AgOr67  ,AgOr73  ,AgOr75  ,AgOr76  
hexanal,-13,8,-11,39,-4,8,-9,-1,-5,19,-9,-11,0,1,0,4,28,0,-16,24,3,6,0,-13,-24,-32,86,52,-33,-15,-22,-11,-16,24,9,24,7,-36,32,27,-5,2,0,-8,0,-17,-31,-4,-23,-10
heptanal,-24,3,-15,88,-6,1,-10,4,-6,18,-8,-12,6,9,-1,-7,39,1,-15,28,35,71,35,-16,-29,-28,69,72,-29,-20,-25,-9,-26,24,85,65,12,-45,50,85,19,18,6,-15,-3,-23,-25,8,74,-6
octanal,-10,-1,-5,28,-4,1,-4,1,-1,2,-6,-5,-2,-1,-4,-4,-1,2,-13,1,0,22,13,-12,-24,-21,-5,7,-23,-12,-10,-10,-20,3,23,-3,0,-6,1,13,-10,3,-2,-7,1,-9,-14,-6,-8,-2
nonanal,1,-1,1,5,-3,1,3,2,2,2,0,1,-2,0,2,-4,0,3,-4,-1,1,18,21,9,-2,-4,1,2,-13,-3,1,0,-11,6,51,5,2,-8,0,16,-3,2,1,-1,-4,4,-3,1,6,-4
decanal,-1,5,1,0,0,-2,1,-3,1,7,-2,0,3,1,3,2,6,-1,7,1,3,16,3,13,-1,-2,-3,2,-1,-1,1,5,-6,7,32,-1,1,-4,-1,5,0,2,2,5,-1,3,-5,6,8,-1
E2-hexenal,-5,10,12,98,4,0,-6,14,28,21,44,36,6,4,29,23,60,2,27,31,34,53,19,-11,-21,-8,240,46,-19,-11,-24,-10,-13,49,30,54,30,-39,66,118,1,12,2,8,2,-22,-20,0,-5,-6
acetone,-11,3,-6,2,-3,3,-2,-2,-5,-4,5,-5,-2,1,8,-2,11,3,-4,3,7,3,3,-4,-9,-19,0,-1,-11,-5,-7,-4,-6,27,1,6,28,-16,4,10,0,5,-4,-8,0,3,-11,3,-11,-3
2-butanone,-13,-3,5,17,11,14,-12,14,-2,13,36,-8,17,2,44,14,33,8,-10,24,11,26,4,-10,-21,-25,3,17,-21,-1,-18,-17,-7,42,24,66,43,-22,37,60,-3,3,6,-7,0,-11,-22,-4,-14,-3
2-heptanone,-11,27,-1,112,20,25,222,29,4,29,44,-2,16,23,69,16,85,21,-21,44,45,138,49,9,-26,-18,112,73,-23,-26,-34,-23,-16,54,172,72,35,-36,69,155,-9,23,25,4,12,-31,-26,11,55,-1
3-octanone,-22,12,-18,65,-5,22,232,9,-7,7,-13,-13,-2,17,43,1,9,9,-19,22,30,222,46,27,-23,-46,-19,86,-28,-26,-35,-30,-21,29,126,28,25,-50,30,53,-9,11,29,-10,10,-20,-31,-2,88,-4
2-nonanone,-22,0,-14,45,2,15,-13,-1,-9,-2,-6,-17,28,8,25,-2,63,-2,-18,12,27,117,60,48,-25,-8,-8,47,-21,-22,-36,-17,-24,77,183,12,16,-35,43,74,-1,4,25,4,0,-20,-18,-8,105,-8
6-methyl-5-hepten-2-one,-26,2,-19,77,3,19,-12,55,-5,8,-7,-16,0,17,79,59,97,-1,-19,45,39,199,47,50,-28,-14,77,147,-23,-29,-43,-26,-23,34,84,83,43,-47,65,117,0,18,24,-9,13,-25,-19,-6,135,-11
geranyl-acetone,-2,-1,-1,2,1,1,8,2,0,-2,5,2,1,0,-2,2,4,-1,1,1,-1,3,57,8,-1,71,2,3,-5,2,-9,3,-2,1,-1,11,0,-2,0,-2,-1,0,2,-1,0,1,1,-2,3,1
"2,3-butanedione",-23,-2,-13,25,134,10,-7,14,0,20,33,1,3,2,61,15,46,2,-16,17,35,24,9,-13,-24,-33,-1,25,-30,-12,-35,-20,-22,50,4,19,37,-33,14,42,-8,3,2,-7,3,-7,-25,7,-24,-7
cyclohexanone,-9,0,6,40,-2,26,-8,4,8,95,60,34,4,4,41,35,126,-3,-9,42,40,107,4,-7,-9,-5,23,21,-12,-16,-11,-11,-12,94,73,81,97,-13,98,117,-5,9,10,27,8,-4,-15,-7,17,-2
phenol,234,170,-23,23,1,39,-7,95,60,33,52,147,78,10,23,54,50,-3,-9,-1,10,1,-1,15,-13,-2,140,50,-2,-14,-7,-18,-13,28,0,19,8,-11,22,46,-2,5,0,-6,5,0,-5,2,-6,-10
benzaldehyde,44,257,-7,38,5,113,-10,15,257,118,124,219,217,38,57,64,133,-2,-14,19,2,41,-4,1,-9,-15,257,75,-13,-9,-7,-24,-15,109,2,70,33,-20,28,135,-6,5,-2,-13,-1,-9,-11,6,-9,-8
acetophenone,-1,24,-2,37,-2,242,-12,74,105,85,105,97,248,63,204,88,163,0,-17,12,16,70,-5,5,-15,-10,199,35,-17,-17,-26,-18,-8,76,-5,139,13,-19,48,88,-9,7,3,-6,1,-14,-7,-8,9,-10
methyl-benzoate,-6,-3,-5,55,-2,100,-10,79,45,5,-9,98,141,1,52,-5,14,4,-14,3,1,46,4,18,-18,-11,45,50,-17,-13,-18,-16,-15,16,1,4,2,-19,23,71,-5,2,0,2,1,-8,-7,-3,52,-4
2-phenoxy-ethanol,1,3,1,6,0,6,-1,0,1,-1,21,0,3,0,6,2,2,1,-2,0,2,-3,2,2,0,3,2,9,-2,1,-2,2,3,10,1,8,0,0,2,2,-1,-1,0,-1,-2,0,2,5,2,1
benzyl-acetate,-7,6,3,70,-4,8,-7,23,35,3,-10,7,-6,0,42,0,0,-2,-22,10,4,85,71,47,-15,10,64,176,-11,-8,-8,-4,-17,23,23,2,-3,-13,31,67,-9,1,14,3,0,-3,-3,-2,45,0
phenethyl-acetate,-4,6,1,-1,-1,-2,-7,4,19,11,130,0,1,25,81,13,25,0,-6,0,0,28,51,15,0,36,136,142,-17,0,-11,-2,-10,19,13,9,-1,-22,19,56,3,1,10,-2,6,-6,-1,-2,1,-4
2-methylphenol,91,201,-22,25,-4,35,-11,195,178,52,88,110,181,44,43,170,66,-2,-20,0,-2,-4,-5,26,-18,-8,36,34,12,-8,-19,-27,-18,22,-2,63,1,-22,50,75,-6,3,7,-11,69,-2,-1,-8,-16,-14
